"game_id","episode_id","entry_id","event_id","event","prev_event","next_event","shot_count","period","c_seconds","seconds","entry_team","def_team","poss_team","Player","Player_2","same_direction_x","same_direction_y","same_direction_x2","same_direction_y2","detail_1","detail_2","detail_3","detail_4","last_event_b4_faceoff","time_since_entry","offensive_score_diff","offensive_strength_diff","strength_state","score_effect","entry_strength","is_prev_event_pass","last_pass_x","last_pass_y","time_since_last_pass","is_otter","pass_count","time_since_last_shot","entry_time_decay","shot_time_decay","pass_time_decay","before_entry_indicator","is_goal","xG"
1,1,101,4,"Shot","Recovery","Recovery",1,1,34,34,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Shane Bulitka",NA,177,57,NA,NA,"Snapshot","On Net",0,FALSE,0,10,0,0,"ES","Close","ES",0,NA,NA,NA,1,0,NA,0,0,0,0,0,0.049279762887261
1,1,101,9,"Shot","Recovery","Turnover",3,1,39,39,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Landon McCallum",NA,165,56,NA,NA,"Deflection","Missed",0,FALSE,0,15,0,0,"ES","Close","ES",0,NA,NA,NA,1,0,0,0,1,0,0,0,0.196200485645557
1,1,103,15,"Shot","Zone Entry","Recovery",1,1,59,59,"Erie Otters","Sudbury Wolves","Erie Otters","Danial Singer",NA,172,71,NA,NA,"Wristshot","On Net",0,FALSE,0,2,0,0,"ES","Close","ES",0,NA,NA,NA,1,0,NA,0.698970004336019,0,0,0,0,0.0126826436085327
1,3,303,39,"Shot","Recovery","Turnover",2,1,163,163,"Erie Otters","Sudbury Wolves","Erie Otters","Maxim Golod",NA,171,24,NA,NA,"Deflection","Missed",0,FALSE,0,25,0,0,"ES","Close","ES",0,NA,NA,NA,1,0,0,0,1,0,0,0,0.0165694158688385
1,4,402,66,"Shot","Recovery","Whistle",2,1,346,346,"Erie Otters","Sudbury Wolves","Erie Otters","Jack Duff",NA,132,8,NA,NA,"Wristshot","Blocked",1,FALSE,1,8,0,0,"ES","Close","ES",0,NA,NA,NA,1,0,6,0.0969100130080565,0.221848749616356,0,0,0,0.00799756399072507
1,5,501,68,"Goal","Zone Entry",NA,0,1,377,377,"Erie Otters","Sudbury Wolves","Erie Otters","Maxim Golod",NA,182,44,NA,NA,"Snapshot","On Net",0,FALSE,1,1,0,0,"ES","Close","ES",0,NA,NA,NA,1,0,NA,1,0,0,0,1,0.249310929299306
1,10,1001,114,"Shot","Zone Entry","Recovery",1,1,577,577,"Erie Otters","Sudbury Wolves","Erie Otters","Austen Swankler",NA,149,37,NA,NA,"Fan","Missed",0,FALSE,0,1,1,0,"ES","Close","ES",0,NA,NA,NA,1,0,NA,1,0,0,0,0,0.0257672929761252
1,10,1001,116,"Shot","Recovery","Whistle",2,1,580,580,"Erie Otters","Sudbury Wolves","Erie Otters","Emmett Sproule",NA,185,28,NA,NA,"Snapshot","Missed",0,FALSE,1,4,1,0,"ES","Close","ES",0,NA,NA,NA,1,0,3,0.397940008672038,0.522878745280338,0,0,0,0.0207359515753104
1,14,1404,142,"Shot","Zone Entry","Turnover",1,1,713,713,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Blake Murray",NA,167,62,NA,NA,"Snapshot","Blocked",0,FALSE,0,2,-1,0,"ES","Close","ES",0,NA,NA,NA,1,0,NA,0.698970004336019,0,0,0,0,0.065008666571821
1,14,1407,148,"Shot","Recovery","Whistle",1,1,751,751,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Nolan Hutcheson",NA,152,5,NA,NA,"Fan","On Net",0,FALSE,1,8,-1,1,"PP","Close","ES",0,NA,NA,NA,1,0,NA,0.0969100130080565,0,0,0,0,0.00766636399384979
